MMSI,# Timestamp,Latitude,Longitude,Navigational status,SOG,COG,Ship type,Width,Length,ts
211174360,05/09/2026 12:00:59,55.7305,10.312242,Unknown value,6.3,227.3,Sailing,4.0,14.0,2026-09-05 12:00:59
211175720,05/09/2026 12:00:18,54.826693,10.49411,Unknown value,6.6,58.6,Sailing,3.0,11.0,2026-09-05 12:00:18
211178850,05/09/2026 12:02:42,54.659572,10.01988,Unknown value,0.0,,Sailing,3.0,9.0,2026-09-05 12:02:42
211183570,05/09/2026 12:02:59,55.097793,10.231657,Unknown value,0.0,,Sailing,3.0,12.0,2026-09-05 12:02:59
211187550,05/09/2026 12:00:22,55.735837,10.439325,Unknown value,4.8,211.1,Sailing,3.0,10.0,2026-09-05 12:00:22
211188000,05/09/2026 12:00:03,54.506333,11.2311,Under way using engine,8.5,34.5,Passenger,24.0,142.0,2026-09-05 12:00:03
211190370,05/09/2026 12:00:09,54.959483,10.913348,Unknown value,5.1,242.2,Pleasure,4.0,14.0,2026-09-05 12:00:09
211196320,05/09/2026 12:05:25,55.686317,10.238245,Unknown value,7.8,346.5,Pleasure,,,2026-09-05 12:05:25
211203890,05/09/2026 12:00:39,55.701667,10.29896,Unknown value,6.8,218.5,Sailing,4.0,12.0,2026-09-05 12:00:39
211204960,05/09/2026 12:00:02,56.194603,10.786745,Under way sailing,5.8,20.5,Sailing,5.0,26.0,2026-09-05 12:00:02
211215570,05/09/2026 12:00:46,55.060702,10.61522,Unknown value,0.0,203.7,Pleasure,2.0,9.0,2026-09-05 12:00:46
211216700,05/09/2026 12:00:09,55.690388,10.166973,Unknown value,7.7,318.4,Pleasure,5.0,23.0,2026-09-05 12:00:09
211222030,05/09/2026 12:00:02,55.040905,10.661328,Unknown value,0.0,147.7,Pleasure,4.0,13.0,2026-09-05 12:00:02
211226110,05/09/2026 12:00:07,54.673997,10.054533,Unknown value,5.0,183.5,Pleasure,4.0,12.0,2026-09-05 12:00:07
211226120,05/09/2026 12:00:03,55.089793,10.235425,Under way using engine,1.4,167.7,Sailing,6.0,36.0,2026-09-05 12:00:03
211226180,05/09/2026 12:02:43,54.580827,11.921805,Unknown value,0.1,129.3,Pleasure,4.0,11.0,2026-09-05 12:02:43
211226360,05/09/2026 12:00:10,55.716347,10.019172,Unknown value,0.1,63.1,Pleasure,4.0,12.0,2026-09-05 12:00:10
211232730,05/09/2026 12:02:30,54.659612,10.020952,Unknown value,0.1,,Sailing,4.0,13.0,2026-09-05 12:02:30
211233010,05/09/2026 12:00:10,55.702752,10.308457,Unknown value,6.9,219.2,Sailing,4.0,13.0,2026-09-05 12:00:10
211233300,05/09/2026 12:00:03,55.043563,12.556058,Under way sailing,9.1,354.4,Sailing,5.0,17.0,2026-09-05 12:00:03
211233620,05/09/2026 12:00:18,54.726775,10.449232,Unknown value,6.8,34.6,Sailing,3.0,10.0,2026-09-05 12:00:18
211234480,05/09/2026 12:00:05,54.55032,11.373978,Under way using engine,7.0,292.9,Cargo,18.0,101.0,2026-09-05 12:00:05
211243350,05/09/2026 12:00:34,55.453162,10.66646,Unknown value,0.0,,Pleasure,4.0,12.0,2026-09-05 12:00:34
211245130,05/09/2026 12:00:24,55.948713,10.454388,Moored,0.0,,Sailing,6.0,30.0,2026-09-05 12:00:24
211256940,05/09/2026 12:00:07,55.092005,10.239423,Moored,1.4,253.2,Sailing,6.0,38.0,2026-09-05 12:00:07
211266920,05/09/2026 12:02:50,55.004158,11.916925,Unknown value,0.0,,Sailing,4.0,12.0,2026-09-05 12:02:50
211269680,05/09/2026 12:01:39,54.9523,12.466748,Moored,0.0,37.0,HSC,6.0,21.0,2026-09-05 12:01:39
211269690,05/09/2026 12:00:56,54.952063,12.466767,Moored,0.0,266.8,HSC,7.0,19.0,2026-09-05 12:00:56
211272570,05/09/2026 12:00:04,54.60675,11.297367,Under way using engine,15.8,201.6,Passenger,26.0,142.0,2026-09-05 12:00:04
211273170,05/09/2026 12:04:49,55.30937,10.792617,Unknown value,0.0,178.5,Pleasure,2.0,6.0,2026-09-05 12:04:49
211282700,05/09/2026 12:00:02,54.501708,11.230137,Under way using engine,0.1,10.1,SAR,4.0,10.0,2026-09-05 12:00:02
211295480,05/09/2026 12:00:10,55.692867,10.319317,Unknown value,5.7,301.0,Pleasure,4.0,10.0,2026-09-05 12:00:10
211302010,05/09/2026 12:00:14,55.680577,10.143547,Unknown value,10.5,227.6,Sailing,4.0,12.0,2026-09-05 12:00:14
211309070,05/09/2026 12:01:40,55.253018,12.376508,Unknown value,0.1,,Sailing,3.0,11.0,2026-09-05 12:01:40
211316690,05/09/2026 12:01:44,54.942197,10.260992,Unknown value,0.0,,Pleasure,3.0,9.0,2026-09-05 12:01:44
211318860,05/09/2026 12:00:08,55.73911,10.343758,Unknown value,7.2,221.4,Pleasure,4.0,10.0,2026-09-05 12:00:08
211323830,05/09/2026 12:00:34,55.03472,10.645437,Unknown value,0.0,,Sailing,4.0,11.0,2026-09-05 12:00:34
211326980,05/09/2026 12:00:27,55.671988,10.131585,Unknown value,8.3,240.6,Sailing,,15.0,2026-09-05 12:00:27
211327450,05/09/2026 12:02:10,55.327968,11.129937,Unknown value,0.0,,Pleasure,4.0,14.0,2026-09-05 12:02:10
211347990,05/09/2026 12:00:04,55.32542,10.881783,Unknown value,3.1,316.9,Pleasure,4.0,12.0,2026-09-05 12:00:04
211353800,05/09/2026 12:01:57,54.984595,12.279128,Unknown value,0.0,,Sailing,3.0,11.0,2026-09-05 12:01:57
211383650,05/09/2026 12:00:48,55.410407,12.933998,Moored,0.0,293.2,Sailing,6.0,34.0,2026-09-05 12:00:48
211393690,05/09/2026 12:00:49,54.854928,10.522368,Unknown value,0.0,,Pleasure,4.0,14.0,2026-09-05 12:00:49
211408900,05/09/2026 12:02:37,55.253243,12.376335,Unknown value,0.0,263.9,Pleasure,5.0,11.0,2026-09-05 12:02:37
211409790,05/09/2026 12:02:41,55.726673,12.584398,Unknown value,0.0,,Sailing,,,2026-09-05 12:02:41
211411370,05/09/2026 12:00:48,54.953513,12.463673,Unknown value,0.3,,Sailing,4.0,13.0,2026-09-05 12:00:48
211418020,05/09/2026 12:00:06,56.165307,10.220807,Unknown value,0.0,,Sailing,4.0,11.0,2026-09-05 12:00:06
211419820,05/09/2026 12:00:29,55.45236,10.667645,Unknown value,0.0,195.3,Sailing,3.0,10.0,2026-09-05 12:00:29
211430690,05/09/2026 12:02:38,54.659827,10.01952,Unknown value,0.0,,Sailing,4.0,12.0,2026-09-05 12:02:38
211431880,05/09/2026 12:00:15,55.749943,10.354903,Unknown value,6.8,233.3,Pleasure,4.0,12.0,2026-09-05 12:00:15
211460600,05/09/2026 12:02:56,55.45324,10.66742,Unknown value,0.0,351.2,Sailing,4.0,12.0,2026-09-05 12:02:56
211476360,05/09/2026 12:01:27,54.94256,10.260578,Unknown value,0.0,,Sailing,4.0,12.0,2026-09-05 12:01:27
211481710,05/09/2026 12:01:34,54.9421,10.258358,Unknown value,0.0,72.3,Pleasure,1.0,13.0,2026-09-05 12:01:34
211483570,05/09/2026 12:00:19,55.307823,10.789828,Unknown value,0.0,6.3,Sailing,4.0,12.0,2026-09-05 12:00:19
211486290,05/09/2026 12:00:47,55.416593,12.828495,Unknown value,0.0,349.7,Sailing,4.0,13.0,2026-09-05 12:00:47
211512930,05/09/2026 12:00:04,54.958443,11.853637,Unknown value,0.1,117.7,Passenger,6.0,29.0,2026-09-05 12:00:04
211528150,05/09/2026 12:04:40,55.716042,10.013753,Unknown value,0.0,0.0,Pleasure,4.0,10.0,2026-09-05 12:04:40
211531500,05/09/2026 12:01:45,54.848227,10.5244,Unknown value,0.0,183.5,Sailing,4.0,11.0,2026-09-05 12:01:45
211542610,05/09/2026 12:00:48,54.942202,10.256238,Moored,0.0,189.6,Fishing,7.0,28.0,2026-09-05 12:00:48
211543260,05/09/2026 12:01:17,55.309715,10.792153,Unknown value,0.1,,Sailing,4.0,12.0,2026-09-05 12:01:17
211553910,05/09/2026 12:01:29,54.889513,10.417922,Unknown value,0.1,77.3,Sailing,3.0,11.0,2026-09-05 12:01:29
211563180,05/09/2026 12:00:08,54.673533,10.032117,Unknown value,0.0,177.8,Sailing,3.0,10.0,2026-09-05 12:00:08
211563500,05/09/2026 12:01:31,54.952527,12.464925,Unknown value,0.0,259.2,Sailing,4.0,12.0,2026-09-05 12:01:31
211569740,05/09/2026 12:02:30,56.165213,10.22078,Unknown value,0.0,,Pleasure,4.0,11.0,2026-09-05 12:02:30
211594900,05/09/2026 12:01:45,55.416835,12.82856,Unknown value,0.0,251.8,Sailing,4.0,11.0,2026-09-05 12:01:45
211599020,05/09/2026 12:02:17,55.307792,10.78976,Unknown value,0.2,,Sailing,3.0,10.0,2026-09-05 12:02:17
211615340,05/09/2026 12:00:37,55.308527,10.790808,Unknown value,0.0,,Sailing,6.0,9.0,2026-09-05 12:00:37
211629340,05/09/2026 12:00:23,55.716825,10.397917,Unknown value,3.9,211.8,Pleasure,4.0,12.0,2026-09-05 12:00:23
211630770,05/09/2026 12:01:33,55.00309,11.918817,Unknown value,0.0,,Sailing,3.0,9.0,2026-09-05 12:01:33
211641190,05/09/2026 12:01:49,54.676865,10.000225,Under way using engine,8.3,93.7,Undefined,8.0,44.0,2026-09-05 12:01:49
211643400,05/09/2026 12:00:05,54.893362,10.410393,Unknown value,0.3,275.3,Pleasure,3.0,10.0,2026-09-05 12:00:05
211655060,05/09/2026 12:00:20,54.822943,12.13778,Unknown value,0.2,,Pleasure,3.0,10.0,2026-09-05 12:00:20
211657410,05/09/2026 12:02:03,55.681883,12.5965,Unknown value,0.1,0.0,Sailing,5.0,14.0,2026-09-05 12:02:03
211658150,05/09/2026 12:02:47,54.932582,10.832332,Unknown value,0.0,346.5,Sailing,2.0,10.0,2026-09-05 12:02:47
211664360,05/09/2026 12:00:30,55.391278,10.925815,Unknown value,8.0,136.9,Sailing,4.0,13.0,2026-09-05 12:00:30
211670520,05/09/2026 12:00:03,55.073953,10.068417,Unknown value,8.1,114.2,Pleasure,4.0,12.0,2026-09-05 12:00:03
211677700,05/09/2026 12:00:19,54.834033,10.513462,Unknown value,7.4,53.0,Sailing,4.0,12.0,2026-09-05 12:00:19
211686000,05/09/2026 12:04:25,55.461358,12.202648,Moored,0.0,176.6,Cargo,10.0,75.0,2026-09-05 12:04:25
211687650,05/09/2026 12:00:20,54.581622,10.30376,Unknown value,6.7,207.1,Pleasure,,8.0,2026-09-05 12:00:20
211688280,05/09/2026 12:00:02,55.665273,10.30023,Unknown value,7.7,208.4,Sailing,5.0,17.0,2026-09-05 12:00:02
211699020,05/09/2026 12:00:13,56.190922,10.668198,Unknown value,0.0,,Sailing,5.0,17.0,2026-09-05 12:00:13
211700070,05/09/2026 12:00:58,54.659282,10.02084,Unknown value,0.0,169.9,Sailing,4.0,14.0,2026-09-05 12:00:58
211701340,05/09/2026 12:02:01,54.952767,12.465638,Moored,0.1,,Sailing,6.0,29.0,2026-09-05 12:02:01
211707170,05/09/2026 12:01:23,55.594102,12.678207,Unknown value,0.0,114.0,Sailing,4.0,10.0,2026-09-05 12:01:23
211722530,05/09/2026 12:01:53,55.416377,12.828995,Unknown value,0.0,11.6,Sailing,4.0,12.0,2026-09-05 12:01:53
211732640,05/09/2026 12:00:00,55.070517,10.111848,Unknown value,7.9,90.7,Sailing,7.0,13.0,2026-09-05 12:00:00
211733530,05/09/2026 12:02:21,55.094677,10.23904,Unknown value,0.0,157.5,Sailing,4.0,11.0,2026-09-05 12:02:21
211739560,05/09/2026 12:00:39,54.812913,10.45374,Unknown value,8.0,41.0,Pleasure,4.0,12.0,2026-09-05 12:00:39
211752110,05/09/2026 12:02:51,56.31649,12.762337,Unknown value,0.0,,Sailing,3.0,9.0,2026-09-05 12:02:51
211764900,05/09/2026 12:00:23,54.893193,10.41073,Unknown value,0.1,3.3,Pleasure,3.0,10.0,2026-09-05 12:00:23
211774710,05/09/2026 12:02:10,56.276097,10.495793,Unknown value,0.0,,Pleasure,4.0,10.0,2026-09-05 12:02:10
211783270,05/09/2026 12:00:38,54.581805,10.025335,Under way using engine,0.0,190.6,SAR,3.0,10.0,2026-09-05 12:00:38
211786950,05/09/2026 12:00:11,55.21055,11.19775,Unknown value,0.0,,Sailing,3.0,11.0,2026-09-05 12:00:11
211793930,05/09/2026 12:02:03,55.062147,10.615155,Unknown value,0.1,,Sailing,3.0,14.0,2026-09-05 12:02:03
211795950,05/09/2026 12:01:02,55.061388,10.61575,Unknown value,0.0,194.8,Sailing,4.0,11.0,2026-09-05 12:01:02
211797820,05/09/2026 12:00:57,54.965573,10.437107,Moored,0.0,,Pleasure,4.0,14.0,2026-09-05 12:00:57
211810060,05/09/2026 12:00:59,54.952533,12.466535,Moored,0.0,359.9,HSC,8.0,22.0,2026-09-05 12:00:59
211832830,05/09/2026 12:02:07,55.060737,10.615195,Unknown value,0.0,,Sailing,4.0,10.0,2026-09-05 12:02:07
211839040,05/09/2026 12:00:12,55.224642,11.7544,Moored,0.0,311.0,Cargo,11.0,85.0,2026-09-05 12:00:12
211840930,05/09/2026 12:01:12,55.679593,10.269612,Unknown value,8.3,227.0,Sailing,4.0,14.0,2026-09-05 12:01:12
211843850,05/09/2026 12:00:40,55.773243,12.816853,Unknown value,4.9,323.5,Pleasure,,,2026-09-05 12:00:40
211845840,05/09/2026 12:00:19,55.676655,10.305963,Unknown value,7.0,215.4,Sailing,4.0,11.0,2026-09-05 12:00:19
211851940,05/09/2026 12:00:22,55.715713,10.32887,Unknown value,7.8,316.6,Sailing,4.0,12.0,2026-09-05 12:00:22
211853140,05/09/2026 12:00:44,55.30974,10.792143,Unknown value,0.0,,Sailing,4.0,12.0,2026-09-05 12:00:44
211860780,05/09/2026 12:00:50,55.696297,12.59624,Unknown value,0.1,,Sailing,,,2026-09-05 12:00:50
211863830,05/09/2026 12:00:13,54.93242,10.044345,Unknown value,0.2,257.1,Pleasure,3.0,10.0,2026-09-05 12:00:13
211872940,05/09/2026 12:00:05,55.683228,10.289895,Unknown value,6.6,232.1,Pleasure,4.0,11.0,2026-09-05 12:00:05
211875190,05/09/2026 12:01:45,55.67575,12.595763,Unknown value,0.0,296.5,Sailing,4.0,11.0,2026-09-05 12:01:45
211879960,05/09/2026 12:00:05,55.679263,10.167985,Unknown value,6.9,249.9,Pleasure,4.0,15.0,2026-09-05 12:00:05
211880360,05/09/2026 12:00:08,55.730647,10.362282,Unknown value,5.9,230.3,Sailing,4.0,12.0,2026-09-05 12:00:08
212160000,05/09/2026 12:02:49,54.637548,11.373948,Moored,0.0,84.9,Tug,10.0,24.0,2026-09-05 12:02:49
212797000,05/09/2026 12:02:06,55.677275,12.646927,Moored,0.0,186.5,Cargo,13.0,100.0,2026-09-05 12:02:06
212811000,05/09/2026 12:04:35,55.29807,10.812188,Moored,0.0,302.1,Cargo,16.0,100.0,2026-09-05 12:04:35
212821000,05/09/2026 12:02:27,55.598653,10.515623,At anchor,0.1,96.4,Cargo,13.0,85.0,2026-09-05 12:02:27
212853000,05/09/2026 12:02:39,54.54732,10.314858,At anchor,0.5,202.1,Cargo,13.0,88.0,2026-09-05 12:02:39
212900000,05/09/2026 12:03:34,55.593043,10.50738,At anchor,0.8,6.4,Reserved,13.0,88.0,2026-09-05 12:03:34
215767000,05/09/2026 12:00:01,54.552567,10.51075,Under way using engine,10.0,247.5,Passenger,26.0,199.0,2026-09-05 12:00:01
218004760,05/09/2026 12:00:54,55.816272,10.641487,Unknown value,0.0,,Sailing,4.0,15.0,2026-09-05 12:00:54
218009520,05/09/2026 12:03:47,54.58183,10.023992,Unknown value,0.1,,Pleasure,3.0,10.0,2026-09-05 12:03:47
218014450,05/09/2026 12:00:31,55.05128,10.157727,Unknown value,0.0,,Pleasure,4.0,11.0,2026-09-05 12:00:31
218014840,05/09/2026 12:00:46,56.404168,10.92559,Unknown value,0.0,,Sailing,4.0,12.0,2026-09-05 12:00:46
218015310,05/09/2026 12:00:23,54.978365,10.305397,Unknown value,5.8,222.1,Pleasure,,,2026-09-05 12:00:23
218020270,05/09/2026 12:00:10,55.056083,10.637965,Unknown value,5.8,159.5,Sailing,,,2026-09-05 12:00:10
218020360,05/09/2026 12:01:27,55.684283,10.13881,Unknown value,9.0,231.6,Sailing,,13.0,2026-09-05 12:01:27
218025960,05/09/2026 12:00:43,55.056238,11.516628,Unknown value,6.6,212.6,Pleasure,4.0,12.0,2026-09-05 12:00:43
218030440,05/09/2026 12:00:52,54.506455,10.16067,Unknown value,7.5,319.7,Sailing,5.0,14.0,2026-09-05 12:00:52
218031190,05/09/2026 12:00:01,55.19919,10.94214,Unknown value,5.9,218.9,Sailing,5.0,14.0,2026-09-05 12:00:01
218031620,05/09/2026 12:04:41,54.822735,12.138905,Unknown value,0.1,,Sailing,4.0,12.0,2026-09-05 12:04:41
218043090,05/09/2026 12:00:56,55.060942,10.61506,Unknown value,0.0,,Pleasure,2.0,8.0,2026-09-05 12:00:56
218043440,05/09/2026 12:02:45,54.952777,12.467377,Moored,0.0,154.1,HSC,9.0,18.0,2026-09-05 12:02:45
218054190,05/09/2026 12:02:40,54.659628,10.021073,Unknown value,0.0,,Pleasure,,,2026-09-05 12:02:40
218055140,05/09/2026 12:00:27,55.666653,10.335272,Unknown value,8.5,211.6,Sailing,5.0,12.0,2026-09-05 12:00:27
218062270,05/09/2026 12:02:56,54.751537,10.673028,Unknown value,0.0,,Pleasure,4.0,11.0,2026-09-05 12:02:56
218143000,05/09/2026 12:00:06,54.572877,11.430125,Under way using engine,0.3,1.2,Tug,12.0,38.0,2026-09-05 12:00:06
218197000,05/09/2026 12:01:41,54.638435,11.375282,Moored,0.0,328.0,Tug,12.0,34.0,2026-09-05 12:01:41
218347000,05/09/2026 12:00:13,55.693193,10.228305,Unknown value,7.9,234.1,Sailing,4.0,16.0,2026-09-05 12:00:13
218768000,05/09/2026 12:00:01,55.698278,12.83329,Under way sailing,4.7,308.3,Sailing,10.0,65.0,2026-09-05 12:00:01
218779000,05/09/2026 12:00:01,54.85928,12.998683,Under way using engine,9.3,250.9,Tanker,12.0,73.0,2026-09-05 12:00:01
218816000,05/09/2026 12:01:58,54.550852,10.33364,At anchor,0.5,186.0,Cargo,23.0,135.0,2026-09-05 12:01:58
219000174,05/09/2026 12:00:06,55.974453,12.599377,Under way using engine,5.7,8.2,Military,6.0,25.0,2026-09-05 12:00:06
219000185,05/09/2026 12:00:03,55.036863,10.747198,Under way using engine,9.9,22.1,Military,6.0,24.0,2026-09-05 12:00:03
219000193,05/09/2026 12:00:03,55.990112,10.608582,Under way using engine,10.7,16.0,Military,6.0,22.0,2026-09-05 12:00:03
219000283,05/09/2026 12:00:09,55.13535,10.901535,Unknown value,0.0,230.8,Sailing,4.0,13.0,2026-09-05 12:00:09
219000431,05/09/2026 12:00:02,54.63725,11.3285,Under way using engine,15.1,25.0,Passenger,26.0,141.0,2026-09-05 12:00:02
219000474,05/09/2026 12:00:14,55.39096,10.790745,Under way using engine,6.3,137.4,Military,6.0,22.0,2026-09-05 12:00:14
219000507,05/09/2026 12:04:41,55.754227,11.323188,Unknown value,0.0,,Pleasure,4.0,9.0,2026-09-05 12:04:41
219000554,05/09/2026 12:00:02,56.28625,10.901807,Under way using engine,4.4,270.0,Military,6.0,27.0,2026-09-05 12:00:02
219000558,05/09/2026 12:00:07,55.338335,11.016293,Under way using engine,0.0,273.0,Dredging,12.0,39.0,2026-09-05 12:00:07
219000575,05/09/2026 12:03:28,56.036827,12.6163,Under way using engine,3.9,95.6,Passenger,6.0,24.0,2026-09-05 12:03:28
219000584,05/09/2026 12:00:06,55.879887,11.137562,Under way using engine,0.0,116.7,Passenger,12.0,48.0,2026-09-05 12:00:06
219000611,05/09/2026 12:01:11,56.12561,12.312547,Unknown value,0.0,,Pleasure,4.0,14.0,2026-09-05 12:01:11
219000632,05/09/2026 12:01:14,55.678817,12.635318,Unknown value,0.0,,Other,4.0,15.0,2026-09-05 12:01:14
219000654,05/09/2026 12:04:44,55.675912,12.596567,Unknown value,0.1,,Pleasure,4.0,11.0,2026-09-05 12:04:44
219000674,05/09/2026 12:00:01,55.057167,10.615667,Under way sailing,4.3,152.0,Passenger,18.0,50.0,2026-09-05 12:00:01
219000723,05/09/2026 12:02:01,55.965515,11.84701,Unknown value,0.1,,Pleasure,4.0,12.0,2026-09-05 12:02:01
219000733,05/09/2026 12:00:02,55.053038,10.232272,Under way using engine,10.3,357.3,Passenger,11.0,47.0,2026-09-05 12:00:02
219000742,05/09/2026 12:00:09,55.059047,10.615115,Under way using engine,0.0,321.8,Passenger,10.0,31.0,2026-09-05 12:00:09
219000762,05/09/2026 12:00:09,55.932773,10.398085,Under way using engine,7.5,263.4,Passenger,10.0,30.0,2026-09-05 12:00:09
219000781,05/09/2026 12:00:11,55.762317,10.272755,Under way using engine,0.0,175.4,Passenger,12.0,48.0,2026-09-05 12:00:11
219000805,05/09/2026 12:02:37,54.947418,11.107205,Moored,0.1,299.5,Cargo,4.0,12.0,2026-09-05 12:02:37
219000809,05/09/2026 12:00:01,54.951785,11.485495,Under way using engine,9.4,12.6,Passenger,12.0,36.0,2026-09-05 12:00:01
219000811,05/09/2026 12:00:10,54.838723,11.491815,Under way using engine,0.0,223.2,Passenger,11.0,31.0,2026-09-05 12:00:10
